O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
698,600822,上海物贸,2014/06/30,4.96亿,3.96亿,8100,0.02,1.96,0.80,368亿,-27.99,3767万,1515万,4575万,777万,-3.82,-2.45亿,-0.49,1.14,116亿,103亿,8.48亿,1.49亿,104亿,103亿,1.95亿,89.68,9.74亿,8.36,6.73亿,1.41,9983万,0,1994/02/04
699,600823,世茂股份,2014/06/30,11.7亿,11.7亿,3.27万,0.61,12.75,4.92,61.2亿,46.67,13.5亿,9490万,13.7亿,7.15亿,1.54,62.4亿,5.33,26.14,610亿,390亿,7.36亿,1.83亿,426亿,321亿,105亿,69.83,149亿,24.48,72.4亿,6.20,0,0,1994/02/04
700,600824,益民集团,2014/06/30,8.78亿,8.78亿,1.15万,0.13,1.96,6.50,16.6亿,1.18,1.55亿,680万,1.57亿,1.11亿,5.12,5.46亿,0.62,23.34,27.9亿,11.9亿,1.72亿,5972万,9.91亿,9.89亿,166万,35.46,17.2亿,61.73,1.35亿,0.16,0,0,1994/02/04
701,600825,新华传媒,2014/06/30,10.4亿,10.4亿,1.69万,0.02,2.39,0.98,8.59亿,5.85,2715万,575万,3898万,2447万,-26.75,7.72亿,0.72,31.59,60.9亿,24.9亿,4.07亿,3394万,35.6亿,26.6亿,9.00亿,58.47,25.1亿,41.31,5.57亿,0.53,0,0,1994/02/04
702,600826,兰生股份,2014/06/30,4.21亿,4.21亿,1.83万,0.10,4.79,1.90,5.85亿,-7.18,4082万,3725万,4098万,4121万,2.66,1.82亿,0.38,6.20,26.7亿,6.26亿,4445万,199万,6.32亿,2.60亿,3.72亿,23.68,20.4亿,76.37,12.6亿,4.13,0,0,1994/02/04
703,600827,百联股份,2014/06/30,17.2亿,15.4亿,1.42万,0.42,7.47,5.46,266亿,-2.30,11.8亿,1.56亿,12.2亿,7.15亿,-3.27,54.7亿,3.18,20.92,396亿,170亿,117亿,25.9亿,236亿,225亿,10.2亿,59.46,129亿,32.50,47.6亿,3.12,1.80亿,0,1994/02/04
704,600828,成商集团,2014/06/30,5.70亿,5.70亿,2.83万,0.29,2.15,14.07,11.3亿,1.68,2.12亿,1.18亿,2.11亿,1.65亿,99.29,4.92亿,0.86,20.51,23.6亿,4.63亿,8.21亿,3.95亿,11.0亿,8.21亿,2.83亿,46.75,12.3亿,52.05,3019万,0.05,0,0,1994/02/24
705,600829,三精制药,2014/06/30,5.80亿,5.80亿,2.00万,0.12,3.73,3.12,10.4亿,-33.45,6986万,23.1万,7665万,6750万,0.00,11.5亿,1.99,52.70,34.4亿,20.9亿,10.1亿,1.42亿,12.1亿,11.6亿,5520万,35.29,21.6亿,62.85,1.31亿,0.23,0,0,1994/02/24
706,600830,香溢融通,2014/06/30,4.54亿,4.54亿,8026,0.10,3.95,2.51,4.76亿,-11.96,6797万,158万,7398万,4577万,-8.87,7.17亿,1.58,18.19,24.1亿,9.78亿,1.77亿,6173万,4.37亿,4.05亿,3207万,18.13,17.9亿,74.37,5.25亿,1.15,0,0,1994/02/24
707,600831,广电网络,2014/06/30,5.63亿,5.63亿,9491,0.14,3.11,4.52,11.3亿,9.84,7604万,80.0万,7949万,7755万,-7.92,6.85亿,1.22,32.59,50.1亿,8.69亿,32.4亿,5890万,32.2亿,24.5亿,7.70亿,64.30,17.5亿,34.92,4.33亿,0.77,0,0,1994/02/24
708,600832,东方明珠,2014/06/30,31.9亿,31.9亿,1.86万,0.19,2.39,7.69,18.9亿,15.76,7.75亿,3.14亿,8.49亿,6.07亿,105.61,21.9亿,0.62,31.76,146亿,52.0亿,12.7亿,13.0亿,58.4亿,46.4亿,12.0亿,40.10,78.3亿,53.79,17.1亿,0.70,0,0,1994/02/24
709,600833,第一医药,2014/06/30,2.23亿,2.23亿,9267,0.09,2.47,3.55,7.22亿,4.78,2403万,336万,2425万,1939万,2.44,9496万,0.38,14.47,9.38亿,5.34亿,9434万,6626万,3.68亿,3.03亿,6499万,39.26,5.63亿,59.99,2.16亿,0.81,0,0,1994/02/24
710,600834,申通地铁,2014/06/30,4.77亿,4.77亿,1.07万,0.09,2.73,3.23,3.54亿,0.95,3516万,0,5695万,4268万,-35.24,5.58亿,1.17,15.12,20.0亿,4.85亿,14.9亿,0,6.94亿,2.93亿,4.01亿,34.76,13.0亿,65.24,8150万,0.17,0,0,1994/02/24
711,600835,上海机电,2014/06/30,10.2亿,8.07亿,1.64万,0.45,5.79,7.78,101亿,8.05,9.71亿,1.82亿,10.1亿,4.61亿,62.35,19.3亿,1.89,19.86,287亿,237亿,15.3亿,3.74亿,209亿,201亿,8.28亿,72.82,59.2亿,20.60,16.5亿,1.65,2.16亿,0,1994/02/24
712,600836,界龙实业,2014/06/30,3.14亿,3.14亿,5571,0.01,1.36,0.95,4.96亿,-36.68,-1387万,183万,436万,409万,149.63,9987万,0.32,17.15,35.9亿,28.4亿,5.19亿,3837万,30.2亿,26.4亿,3.76亿,83.93,4.27亿,11.89,118万,0.01,0,0,1994/02/24
713,600837,海通证券,2014/06/30,95.8亿,80.9亿,2.28万,0.30,6.61,4.55,67.1亿,18.62,37.4亿,16.1亿,38.6亿,28.8亿,7.96,137亿,1.43,0.00,2157亿,0,9.94亿,2.70亿,1489亿,0,0,69.04,633亿,29.37,326亿,3.40,0,14.9亿,1994/02/24
714,600838,上海九百,2014/06/30,4.01亿,4.01亿,6492,0.03,1.80,1.90,5657万,-26.89,1411万,3727万,1380万,1380万,-18.46,1.10亿,0.24,42.93,10.5亿,1.27亿,1.45亿,1.02亿,3.11亿,2.97亿,1433万,29.74,7.35亿,70.26,1.88亿,0.47,0,0,1994/02/24
715,600839,四川长虹,2014/06/30,46.2亿,46.1亿,1.43万,-0.04,2.97,-1.31,273亿,-2.72,-1.38亿,1163万,1.81亿,-1.81亿,-179.73,18.5亿,0.40,13.93,640亿,493亿,79.0亿,33.7亿,446亿,386亿,60.3亿,69.74,137亿,21.43,38.0亿,0.84,0,0,1994/03/11
716,600841,上柴股份,2014/06/30,8.67亿,4.92亿,1.89万,0.11,3.87,2.75,16.0亿,4.55,9381万,2352万,9726万,9219万,-15.25,8.80亿,1.02,18.72,56.1亿,36.9亿,7.52亿,2611万,22.5亿,20.9亿,1.65亿,40.11,33.5亿,59.78,11.3亿,1.29,3.45亿,0,1994/03/11
717,600843,上工申贝,2014/06/30,5.49亿,2.05亿,9651,0.08,2.71,3.68,9.70亿,11.30,9055万,1139万,9076万,4185万,36.45,3886万,0.07,31.57,26.8亿,18.9亿,2.62亿,7805万,10.4亿,5.48亿,4.93亿,38.82,14.8亿,55.33,9.45亿,0.93,2.44亿,0,1994/03/11
718,600844,丹化科技,2014/06/30,7.79亿,5.85亿,1.53万,-0.01,1.06,-0.65,4.19亿,76.08,-7299万,18.5万,-430万,-540万,0.00,-8.06亿,-1.04,14.99,34.5亿,5.17亿,26.4亿,1.93亿,19.1亿,12.5亿,6.51亿,55.19,8.27亿,23.93,7.98亿,1.03,1.94亿,0,1994/03/11
719,600845,宝信软件,2014/06/30,3.64亿,2.27亿,1.58万,0.37,6.49,6.22,16.1亿,5.35,1.50亿,-40.9万,1.62亿,1.33亿,-5.55,11.9亿,3.28,30.41,46.0亿,38.5亿,1.34亿,1.34亿,21.7亿,21.0亿,6361万,47.09,23.6亿,51.30,6.34亿,0.07,1.14亿,0,1994/03/11
720,600846,同济科技,2014/06/30,6.25亿,6.25亿,7150,0.09,2.49,3.75,17.0亿,-7.28,1.04亿,1871万,1.24亿,5831万,22.08,6.09亿,0.97,9.72,71.2亿,61.4亿,2.08亿,2.11亿,48.3亿,42.7亿,5.61亿,67.94,15.6亿,21.89,2.26亿,0.34,0,0,1994/03/11
721,600847,万里股份,2014/06/30,1.57亿,8866万,2.16万,0.01,4.78,0.32,7486万,5.00,243万,0,247万,222万,0.00,-7185万,-0.46,0.00,8.37亿,5.58亿,1.65亿,2158万,1.30亿,1.26亿,392万,15.49,7.07亿,84.39,6.26亿,8.08,0,0,1994/03/24
722,600848,自仪股份,2014/06/30,3.99亿,2.92亿,8387,0.01,0.50,2.15,5.42亿,1.81,-2177万,1098万,421万,421万,-17.87,-4.49亿,-1.12,14.68,18.6亿,11.2亿,2.62亿,2534万,16.7亿,14.4亿,2.30亿,89.35,1.98亿,10.65,2.25亿,0.56,1.07亿,0,1994/03/24
723,600850,华东电脑,2014/06/30,3.22亿,1.71亿,1.42万,0.28,3.87,7.13,24.5亿,17.27,1.17亿,-206万,1.26亿,8948万,28.99,9.26亿,2.88,15.29,34.0亿,32.8亿,3253万,4386万,20.5亿,20.4亿,1511万,60.27,12.5亿,36.64,0,0.00,0,0,1994/03/24
724,600851,海欣股份,2014/06/30,12.1亿,7.38亿,8283,0.02,2.42,0.69,4.56亿,-9.37,1868万,7445万,1547万,2036万,-59.77,948万,0.01,19.43,42.5亿,10.3亿,4.51亿,4545万,11.1亿,7.78亿,3.37亿,26.24,29.2亿,68.64,13.3亿,1.08,4.69亿,0,1994/04/04
725,600853,龙建股份,2014/06/30,5.37亿,5.37亿,9244,0.01,1.46,0.43,20.5亿,-3.22,550万,0,1565万,340万,-26.38,1.36亿,0.25,6.06,66.8亿,54.5亿,2.73亿,5.07亿,58.9亿,51.7亿,7.24亿,88.13,7.84亿,11.73,1.00亿,0.19,0,0,1994/04/04
726,600854,春兰股份,2014/06/30,5.19亿,5.19亿,1.55万,0.07,3.72,1.81,2.96亿,-30.08,2736万,5929万,2965万,3481万,6.30,-6.39亿,-1.23,28.81,26.2亿,13.1亿,4.22亿,559万,6.91亿,5.54亿,1.37亿,26.44,19.3亿,73.98,15.3亿,2.95,0,0,1994/04/25
727,600855,航天长峰,2014/06/30,3.32亿,2.33亿,5442,0.04,2.44,1.66,2.94亿,-29.33,662万,100万,2327万,1338万,-31.81,1.92亿,0.58,27.19,16.4亿,12.7亿,5208万,2074万,7.48亿,7.40亿,801万,45.73,8.09亿,49.46,2.69亿,0.82,0,0,1994/04/25
728,600856,长百集团,2014/06/30,2.35亿,2.35亿,1.51万,0.00,0.56,0.64,1.82亿,-5.33,77.3万,-72.7万,83.2万,83.2万,-86.63,-2.21亿,-0.94,23.62,4.55亿,1.24亿,2.84亿,162万,3.23亿,2.41亿,8200万,71.00,1.31亿,28.91,8810万,0.38,0,0,1994/04/25
729,600857,工大首创,2014/06/30,2.24亿,2.24亿,1.38万,0.12,2.52,4.88,5.99亿,-28.01,3271万,1292万,3271万,2742万,47.85,2.22亿,0.99,10.61,7.25亿,3.26亿,1.32亿,222万,1.60亿,1.59亿,132万,22.09,5.64亿,77.91,6606万,0.29,0,0,1994/04/25
730,600858,银座股份,2014/06/30,5.20亿,5.18亿,2.26万,0.31,5.65,5.56,71.8亿,-1.14,2.51亿,0,2.37亿,1.61亿,-5.17,13.8亿,2.65,18.40,122亿,42.7亿,33.8亿,15.6亿,89.5亿,70.7亿,18.8亿,73.27,29.4亿,24.07,9.65亿,1.86,0,0,1994/05/06
731,600859,王府井,2014/06/30,4.63亿,4.18亿,9979,0.82,13.80,5.87,94.3亿,-5.97,5.33亿,5625万,5.36亿,3.78亿,2.07,20.5亿,3.93,19.67,131亿,60.0亿,22.8亿,9.68亿,64.4亿,42.4亿,21.9亿,49.30,66.2亿,50.67,32.1亿,7.07,0,0,1994/05/06
732,600860,*ST京城,2014/06/30,4.22亿,3.22亿,2.53万,0.05,2.13,2.56,9.37亿,140.75,-5007万,42.4万,2752万,2082万,0.00,-2.02亿,-0.48,10.63,28.6亿,15.7亿,6.89亿,1.71亿,14.3亿,13.0亿,1.33亿,50.03,9.00亿,31.40,6.34亿,1.24,0,1.00亿,1994/05/06
733,600861,北京城乡,2014/06/30,3.17亿,3.17亿,8286,0.15,6.95,2.06,11.7亿,-10.15,6776万,77.1万,6931万,4594万,-2.42,4.17亿,1.32,17.52,41.5亿,29.0亿,7.54亿,5151万,18.7亿,10.9亿,7.82亿,44.99,22.0亿,53.03,8.69亿,2.72,0,0,1994/05/20
734,600862,南通科技,2014/06/30,6.38亿,6.38亿,1.36万,-0.15,1.81,-8.04,2.91亿,-49.32,-9010万,548万,-8646万,-9270万,-3861.88,2.25亿,0.35,4.95,66.2亿,47.3亿,12.4亿,2.17亿,54.3亿,38.1亿,16.2亿,82.01,11.5亿,17.41,2.51亿,0.39,0,0,1994/05/20
735,600863,内蒙华电,2014/06/30,58.1亿,26.4亿,1.70万,0.14,1.82,7.26,57.2亿,5.69,14.1亿,5.28亿,14.0亿,8.19亿,7.43,23.9亿,0.41,23.86,365亿,33.9亿,207亿,42.7亿,226亿,109亿,117亿,61.93,106亿,28.91,33.7亿,0.87,0,0,1994/05/20
736,600864,哈投股份,2014/06/30,5.46亿,5.46亿,9811,0.12,5.22,2.09,6.46亿,9.58,8066万,1473万,8289万,6282万,-79.84,12.8亿,2.10,23.87,46.3亿,9.15亿,16.3亿,1.08亿,15.2亿,7.75亿,7.49亿,32.93,29.9亿,64.56,9.17亿,2.07,0,0,1994/08/09
737,600865,百大集团,2014/06/30,3.76亿,3.76亿,1.28万,0.25,3.39,7.35,5.28亿,-22.99,1.14亿,2413万,1.13亿,9257万,109.92,5.21亿,1.39,25.44,22.0亿,15.0亿,1.75亿,8834万,9.26亿,6.67亿,2.59亿,42.06,12.8亿,57.94,2.33亿,0.62,0,0,1994/08/09
738,600866,星湖科技,2014/06/30,5.50亿,5.50亿,9332,-0.27,2.41,-10.68,3.81亿,-18.37,-1.50亿,-2241万,-1.48亿,-1.49亿,0.00,1.03亿,0.19,11.91,25.4亿,10.2亿,11.2亿,1.88亿,12.1亿,5.09亿,7.05亿,47.89,13.3亿,52.40,5.03亿,0.98,0,0,1994/08/18
739,600867,通化东宝,2014/06/30,10.3亿,10.2亿,2.10万,0.14,1.94,7.44,6.56亿,18.85,1.71亿,292万,1.74亿,1.49亿,27.17,5.86亿,0.57,68.66,27.8亿,11.9亿,9.01亿,6057万,7.98亿,4.49亿,3.49亿,28.76,19.5亿,70.38,9908万,0.11,0,0,1994/08/24
740,600868,梅雁吉祥,2014/06/30,19.0亿,19.0亿,6410,0.01,1.16,0.58,2.09亿,-0.22,598万,-115万,1390万,1268万,-24.16,-1.56亿,-0.08,30.02,28.7亿,1.22亿,19.7亿,8230万,5.90亿,1.57亿,4.33亿,20.55,22.0亿,76.58,4.15亿,0.22,0,0,1994/09/12
741,600869,智慧能源,2014/06/30,9.90亿,9.90亿,4.94万,0.10,3.06,3.33,48.0亿,-8.25,9377万,343万,1.20亿,1.03亿,12.06,3.72亿,0.38,17.46,96.3亿,68.1亿,14.6亿,2.58亿,65.3亿,62.3亿,2.98亿,67.77,30.3亿,31.50,15.1亿,1.52,0,0,1995/02/06
742,600870,厦华电子,2014/06/30,5.23亿,3.71亿,1.29万,-0.44,0.01,-263.25,2.10亿,-60.15,-6771万,8456万,-2.30亿,-2.29亿,-1663.23,-28.7亿,-5.49,10.11,1.31亿,9039万,22.6万,1200万,1.29亿,1.29亿,0,98.03,272万,2.08,22.8亿,3.41,0,0,1995/02/28
743,600871,*ST仪化,2014/06/30,60.0亿,4.50亿,6.94万,-0.29,0.89,-28.13,79.2亿,-9.10,-16.7亿,203万,-16.8亿,-17.5亿,0.00,-20.0亿,-0.33,-1.58,88.4亿,39.7亿,38.5亿,1.61亿,34.9亿,34.7亿,2841万,39.52,53.5亿,60.48,11.5亿,0.19,0,21.0亿,1995/04/11
744,600872,中炬高新,2014/06/30,7.97亿,7.97亿,1.23万,0.19,2.79,7.01,13.3亿,19.60,1.81亿,347万,1.81亿,1.53亿,76.96,9.55亿,1.20,32.86,37.9亿,19.8亿,7.18亿,1.15亿,13.2亿,11.9亿,1.26亿,34.73,22.2亿,58.63,2.97亿,0.37,0,0,1995/01/24
745,600873,梅花生物,2014/06/30,31.1亿,31.1亿,5.07万,0.04,2.53,1.66,46.1亿,17.60,9944万,383万,1.61亿,1.32亿,-39.86,23.2亿,0.75,17.54,193亿,50.4亿,113亿,8.70亿,115亿,91.0亿,23.9亿,59.43,78.5亿,40.57,22.4亿,0.72,0,0,1995/02/17
746,600874,创业环保,2014/06/30,14.3亿,10.9亿,1.46万,0.10,2.81,3.61,8.62亿,1.22,1.98亿,54.0万,2.00亿,1.44亿,23.92,18.2亿,1.28,42.52,114亿,36.0亿,4.46亿,56.0亿,72.1亿,20.4亿,51.7亿,63.38,40.1亿,35.21,3.82亿,0.27,0,3.40亿,1995/06/30
747,600875,东方电气,2014/06/30,20.0亿,16.6亿,1.57万,0.42,11.07,4.65,190亿,-7.25,9.60亿,4647万,10.0亿,8.39亿,-29.24,106亿,5.31,15.33,788亿,656亿,88.4亿,9.89亿,597亿,578亿,19.2亿,75.73,182亿,23.10,49.9亿,2.48,0,3.40亿,1995/10/10
748,600876,洛阳玻璃,2014/06/30,5.00亿,2.50亿,2.79万,0.06,0.13,65.27,2.66亿,99.25,2936万,9339万,3053万,3227万,0.00,-13.4亿,-2.69,4.16,12.6亿,5.39亿,6.08亿,5303万,12.7亿,7.83亿,4.92亿,101.01,6565万,5.20,8.57亿,1.71,0,2.50亿,1995/10/31
749,600877,中国嘉陵,2014/06/30,6.87亿,6.87亿,9017,-0.04,0.23,-16.22,7.66亿,0.28,-1341万,5506万,-2749万,-2754万,0.00,-12.4亿,-1.80,9.62,27.3亿,12.7亿,6.37亿,1.44亿,25.9亿,25.7亿,2483万,94.82,1.56亿,5.71,1.11亿,0.16,0,0,1995/10/13
750,600879,航天电子,2014/06/30,10.4亿,10.4亿,1.04万,0.08,4.85,1.63,17.8亿,2.00,9866万,-43.1万,1.08亿,8135万,8.31,19.8亿,1.91,23.70,96.1亿,66.5亿,17.0亿,3.76亿,44.1亿,38.5亿,5.62亿,45.89,50.4亿,52.44,19.0亿,1.83,0,0,1995/11/15
751,600880,博瑞传播,2014/06/30,10.9亿,6.63亿,9731,0.14,3.20,4.50,7.60亿,8.02,2.22亿,-310万,2.31亿,1.57亿,-12.79,13.3亿,1.21,47.48,49.2亿,14.4亿,5.43亿,4.31亿,8.81亿,5.84亿,2.97亿,17.92,35.0亿,71.21,8.05亿,1.78,0,0,1995/11/15
752,600881,亚泰集团,2014/06/30,18.9亿,18.9亿,9897,0.06,4.23,1.47,67.1亿,7.87,2.79亿,2.36亿,3.17亿,1.19亿,-36.49,23.1亿,1.22,25.96,500亿,265亿,129亿,27.1亿,379亿,269亿,110亿,75.85,80.1亿,16.02,34.4亿,1.81,0,0,1995/11/15
753,600882,华联矿业,2014/06/30,3.99亿,2.82亿,1.07万,0.33,3.44,8.72,5.32亿,16.42,1.76亿,141万,1.79亿,1.31亿,1.83,10.1亿,2.03,42.05,19.5亿,9.25亿,4.42亿,2.73亿,3.65亿,2.98亿,6693万,18.68,15.7亿,80.68,0,0.00,0,0,1995/12/06
754,600883,博闻科技,2014/06/30,2.36亿,2.36亿,1.40万,-0.05,2.83,-1.87,899万,-60.00,-1271万,-860万,-1246万,-1246万,-483.10,2.39亿,1.01,-2.74,7.22亿,1.46亿,2016万,214万,5459万,1505万,3955万,7.56,6.68亿,92.44,1.39亿,0.60,0,0,1995/12/08
755,600884,杉杉股份,2014/06/30,4.11亿,4.11亿,7893,0.29,8.03,3.65,18.7亿,5.95,1.19亿,1.33亿,1.17亿,1.19亿,28.46,11.6亿,2.83,21.96,84.8亿,40.1亿,10.1亿,2.48亿,48.6亿,29.6亿,19.1亿,57.36,33.0亿,38.89,15.6亿,3.72,0,0,1996/01/30
756,600885,宏发股份,2014/06/30,5.32亿,2.37亿,2.26万,0.39,4.47,9.15,19.8亿,18.11,3.12亿,0,3.36亿,2.08亿,52.16,10.4亿,1.95,32.62,45.2亿,32.0亿,9.63亿,1.61亿,13.7亿,11.3亿,2.45亿,30.30,23.8亿,52.54,6.70亿,1.42,0,0,1996/02/05
757,600886,国投电力,2014/06/30,67.9亿,67.9亿,8.18万,0.30,2.87,10.36,146亿,20.16,36.7亿,4.50亿,38.3亿,20.2亿,75.24,59.1亿,0.87,43.46,1638亿,135亿,1148亿,28.3亿,1293亿,251亿,1042亿,78.93,195亿,11.89,63.9亿,0.94,0,0,1996/01/18
758,600887,伊利股份,2014/06/30,30.6亿,30.1亿,2.65万,0.75,5.45,13.32,273亿,13.59,25.0亿,7647万,26.8亿,22.9亿,31.93,63.0亿,2.06,32.64,394亿,219亿,113亿,9.21亿,225亿,206亿,18.9亿,57.11,167亿,42.38,74.2亿,3.67,0,0,1996/03/12
759,600888,新疆众和,2014/06/30,6.41亿,6.41亿,1.23万,-0.10,5.65,-1.69,21.5亿,27.26,-7038万,0,-5505万,-6228万,-207.34,8.65亿,1.35,6.85,85.6亿,34.6亿,39.3亿,1.31亿,49.2亿,25.3亿,23.9亿,57.48,36.3亿,42.34,19.4亿,3.02,0,0,1996/02/15
760,600889,南京化纤,2014/06/30,3.07亿,3.07亿,1.03万,0.01,3.06,0.15,7.32亿,27.64,982万,-1041万,1109万,139万,-89.51,2.71亿,0.88,12.15,32.8亿,16.2亿,12.8亿,3171万,22.3亿,19.6亿,2.71亿,68.00,9.40亿,28.64,2.16亿,0.70,0,0,1996/03/08
761,600890,中房股份,2014/06/30,5.79亿,5.79亿,3.05万,-0.01,0.56,-0.91,595万,43.48,-1400万,-19.5万,-297万,-297万,0.00,-3.58亿,-0.62,-7.84,4.14亿,1.87亿,98.3万,0,8660万,8660万,0,20.90,3.26亿,78.72,2034万,0.04,0,0,1996/03/18
762,600891,秋林集团,2014/06/30,3.26亿,3.24亿,1.41万,0.08,2.55,3.16,1.94亿,3.80,3509万,23.3万,3513万,2613万,27.28,1.36亿,0.38,31.99,12.0亿,7.02亿,1.43亿,1.04亿,3.41亿,3.27亿,1374万,28.31,8.40亿,69.83,3.44亿,1.07,0,0,1996/03/25
763,600892,宝诚股份,2014/06/30,6313万,6282万,1.39万,0.00,0.10,0.66,6785万,-81.24,97.4万,0,95.0万,4.09万,-98.92,-2.07亿,-3.29,7.42,1.56亿,6614万,1184万,59.1万,1.33亿,1.27亿,570万,84.86,625万,4.00,1.42亿,2.25,0,0,1996/03/15
764,600893,航空动力,2014/06/30,19.5亿,10.9亿,2.30万,0.13,7.19,2.23,111亿,263.76,1.71亿,8582万,3.08亿,2.35亿,87.45,7.32亿,0.38,13.17,433亿,263亿,90.7亿,23.3亿,285亿,245亿,40.3亿,65.82,140亿,32.37,110亿,2.21,0,0,1996/04/08
765,600894,广日股份,2014/06/30,8.60亿,7.77亿,3.14万,0.39,4.63,9.47,21.2亿,14.88,3.52亿,1.69亿,3.53亿,3.09亿,29.42,4.55亿,0.53,22.04,67.7亿,37.6亿,6.94亿,1.48亿,27.0亿,21.9亿,5.16亿,39.95,39.8亿,58.75,24.3亿,2.31,0,0,1996/03/28
766,600895,张江高科,2014/06/30,15.5亿,15.5亿,1.37万,0.07,4.41,1.51,7.24亿,18.51,1.45亿,2.09亿,1.49亿,1.05亿,15.08,20.3亿,1.23,31.57,179亿,82.1亿,2.34亿,1034万,105亿,56.3亿,48.9亿,58.92,69.6亿,38.93,30.5亿,1.99,0,0,1996/04/22
767,600896,中海海盛,2014/06/30,5.81亿,5.81亿,8052,-0.16,2.38,-6.08,4.53亿,-6.14,-9191万,570万,-8601万,-9061万,0.00,7648万,0.13,6.59,55.6亿,5.90亿,39.5亿,233万,38.2亿,19.2亿,18.9亿,68.61,13.9亿,24.91,5.88亿,1.14,0,0,1996/05/03
768,600897,厦门空港,2014/06/30,2.98亿,2.98亿,1.28万,0.80,8.92,8.98,6.73亿,11.54,3.30亿,1039万,3.34亿,2.38亿,14.93,17.5亿,5.86,52.61,32.0亿,16.1亿,11.6亿,8218万,3.31亿,3.29亿,234万,10.36,26.6亿,83.02,2.68亿,0.90,0,0,1996/05/31
769,600898,三联商社,2014/06/30,2.53亿,2.53亿,9564,0.06,1.31,4.30,4.20亿,5.23,1858万,476万,1860万,1394万,23.28,1109万,0.04,13.42,6.56亿,4.72亿,1.26亿,55.6万,3.25亿,3.21亿,491万,49.57,3.31亿,50.43,4508万,0.18,0,0,1996/04/18
770,600900,长江电力,2014/06/30,165亿,97.5亿,3.17万,0.21,4.66,4.29,97.0亿,8.09,37.2亿,6.70亿,43.2亿,33.9亿,19.19,185亿,1.12,51.53,1491亿,75.5亿,1266亿,4195万,722亿,522亿,200亿,48.44,769亿,51.55,307亿,1.87,0,0,2003/11/18
771,600917,重庆燃气,2014/06/30,0,0,0,0.13,1.88,6.62,28.4亿,0.00,2.03亿,140万,2.21亿,1.84亿,0.00,4.29亿,0.00,13.97,63.9亿,24.2亿,21.9亿,2.28亿,35.1亿,15.9亿,19.2亿,54.94,26.3亿,41.20,7.04亿,0.00,0,0,0000/00/00
772,600960,渤海活塞,2014/06/30,3.28亿,2.12亿,1.35万,0.32,6.09,5.92,6.43亿,-1.52,3892万,358万,9179万,7907万,138.28,4.82亿,1.44,25.23,30.3亿,22.1亿,6.12亿,1.56亿,9.65亿,8.59亿,1.06亿,31.83,20.1亿,66.17,11.3亿,1.35,0,0,2004/04/07
773,600961,株冶集团,2014/06/30,5.27亿,5.27亿,1.04万,0.02,1.36,1.32,72.6亿,2.75,-4849万,3185万,1236万,937万,0.00,-7.75亿,-1.47,4.87,62.1亿,26.9亿,29.5亿,2.99亿,55.0亿,51.8亿,3.17亿,88.52,7.15亿,11.52,8.67亿,1.78,0,0,2004/08/30
774,600962,国投中鲁,2014/06/30,2.62亿,2.54亿,1.68万,-0.12,3.29,-3.66,4.43亿,-35.68,-2964万,0,-2891万,-3214万,0.00,3707万,0.14,18.39,22.7亿,15.3亿,5.43亿,9247万,12.3亿,12.3亿,98.0万,54.47,8.63亿,38.07,5.27亿,2.01,0,0,2004/06/22
775,600963,岳阳林纸,2014/06/30,10.4亿,8.43亿,1.22万,-0.09,5.05,-1.76,31.3亿,-2.10,-1.15亿,0,-9381万,-9384万,0.00,2.49亿,0.24,14.06,171亿,80.8亿,85.0亿,4.00亿,119亿,90.0亿,28.6亿,69.24,52.7亿,30.74,38.3亿,3.67,0,0,2004/05/25
776,600965,福成五丰,2014/06/30,5.28亿,3.63亿,6918,0.05,1.67,2.94,5.04亿,70.72,3053万,0,3349万,2645万,-17.25,2.38亿,0.40,33.96,11.6亿,5.36亿,4.04亿,4371万,2.46亿,2.46亿,6.74万,21.21,9.12亿,78.61,2.21亿,1.93,0,0,2004/07/13
777,600966,博汇纸业,2014/06/30,6.08亿,6.08亿,1.23万,0.08,5.85,1.49,31.1亿,35.03,4354万,0,7953万,4693万,0.00,10.4亿,1.70,17.50,143亿,70.9亿,67.7亿,2.10亿,107亿,88.8亿,18.6亿,75.15,32.3亿,22.59,14.4亿,2.39,0,0,2004/06/08
