O,S,N,P,R,I,WPct,Rnk,RnkChg,R1,WPct3,Rnk3,RnkChg3,R3,WPct5,Rnk5,RnkChg5,R5,WPct10,Rnk10,RnkChg10,R10
Order,Symbol,Name,Price,Rise,,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase
序,代码,名称,最新,涨幅%,所属行业,今日增仓占比,今日排名,今日排名变化,今日涨幅%,3日增仓占比,3日排名,3日排名变化,3日涨幅%,5日增仓占比,5日排名,5日排名变化,5日涨幅%,10日增仓占比,10日排名,10日排名变化,10日涨幅%
182,300256,星星科技,16.80,0.30, 塑胶制品,10.93,182,+570,0.30,3.93,425,+117,0.36,4.67,315,+350,6.46,1.76,377,+241,2.82
183,002092,中泰化学,8.06,2.94, 化工行业,10.86,183,+2235,2.94,0.15,906,+1265,1.51,-2.17,1683,+567,2.68,-2.13,1361,+811,4.81
184,600425,青松建化,5.44,0.55, 水泥建材,10.85,184,+1134,0.55,1.87,657,+861,1.68,2.13,652,+377,3.62,-1.07,1128,-41,-1.09
185,002604,龙力生物,14.45,2.70, 食品行业,10.85,185,+296,2.70,6.10,231,+58,5.01,4.39,350,+995,9.06,-2.53,1460,+707,4.71
186,600235,民丰特纸,7.12,5.17, 造纸印刷,10.83,186,+1758,5.17,1.50,700,+874,5.79,0.48,952,+947,10.90,-1.67,1250,+493,8.21
187,300107,建新股份,11.69,0.43, 化工行业,10.83,187,-8,0.43,14.53,29,+4,4.37,12.88,28,+50,9.25,1.95,358,+1039,2.81
188,000028,国药一致,49.96,0.73, 医药行业,10.79,188,+1249,0.73,3.62,468,+1080,0.83,1.94,680,+741,3.01,0.33,610,-122,-0.91
189,002468,艾迪西,9.72,3.18, 机械行业,10.77,189,+659,3.18,4.81,327,+231,3.62,4.44,345,+540,7.40,2.73,269,+406,8.00
190,002140,东华科技,18.43,1.38, 工程建设,10.73,190,+795,1.38,5.03,301,+1222,1.82,3.05,503,+398,3.25,-2.74,1528,+528,1.82
191,300245,天玑科技,28.72,0.81, 电子信息,10.73,191,+477,0.81,4.38,375,+951,3.05,3.92,396,+396,7.16,-3.52,1698,+233,0.03
192,000554,泰山石油,8.79,0.69, 石油行业,10.70,192,+2208,0.69,2.02,637,+1273,1.85,-0.68,1381,+836,3.90,-4.16,1840,+485,0.00
193,002298,鑫龙电器,8.05,1.13, 输配电气,10.68,193,+1234,1.13,0.45,856,+1133,2.68,-1.00,1445,+710,5.23,-4.06,1823,+493,-0.37
194,600960,渤海活塞,12.02,2.30, 机械行业,10.63,194,+1756,2.30,-1.54,1382,+903,0.42,-4.12,1980,+172,0.33,-0.60,1006,+329,10.48
195,000851,高鸿股份,13.36,0.53, 通讯行业,10.62,195,-113,0.53,15.16,25,+13,7.74,11.87,35,+13,11.33,4.75,122,+204,6.20
196,600803,威远生化,13.17,-0.30, 化工行业,10.62,196,-44,-0.30,2.04,635,-36,0.46,4.40,349,+260,3.29,-1.23,1152,+472,1.46
197,000612,焦作万方,9.21,1.66, 有色金属,10.58,197,+146,1.66,5.07,298,+303,2.79,5.08,286,+1055,12.45,-0.57,992,-428,-6.02
198,300153,科泰电源,15.20,8.42, 输配电气,10.57,198,+360,8.42,3.07,516,+1494,9.83,3.55,437,+1098,16.92,-2.13,1364,+1063,13.52
199,300082,奥克股份,13.44,1.36, 化工行业,10.56,199,+2349,1.36,-12.78,2427,+17,0.07,-5.27,2117,+239,4.51,-10.22,2455,+30,-2.96
200,002714,牧原股份,52.17,-0.34, 农牧饲渔,10.53,200,+1827,-0.34,0.73,819,+1222,0.73,-3.92,1956,+455,1.20,-10.23,2457,+10,-4.45
201,600083,博信股份,8.91,1.48, 电子元件,10.45,201,+1958,1.48,-0.71,1259,-248,3.01,3.27,481,+591,9.19,0.71,552,+396,8.53
202,002009,天奇股份,15.58,1.70, 机械行业,10.42,202,+194,1.70,11.09,59,+110,5.56,8.40,98,+80,7.82,2.42,302,-49,6.13
203,000708,大冶特钢,8.88,7.51, 钢铁行业,10.35,203,+1739,7.51,3.91,428,+928,15.03,1.82,704,+755,18.40,0.78,538,+164,19.84
204,002521,齐峰新材,10.32,1.18, 造纸印刷,10.34,204,+600,1.18,4.82,325,-11,1.57,5.91,213,+320,4.45,0.82,530,+411,4.03
205,600993,马应龙,18.08,0.56, 医药行业,10.34,205,+708,0.56,10.57,74,+97,2.20,10.10,52,+10,5.67,5.62,92,+61,3.91
206,000755,*ST三维,4.58,2.23, 化工行业,10.30,206,+1524,2.23,2.19,610,+909,6.51,-1.00,1448,+646,10.63,-5.22,2026,+275,7.51
207,002516,江苏旷达,18.30,-1.08, 纺织服装,10.26,207,-94,-1.08,11.33,55,+92,12.48,9.50,68,+56,18.60,8.21,37,+4,36.77
208,002155,辰州矿业,8.87,1.72, 有色金属,10.24,208,+1508,1.72,-0.72,1260,+889,1.84,-0.79,1406,+590,4.23,-4.45,1893,+414,1.37
209,002692,远程电缆,9.12,0.44, 输配电气,10.24,209,+1417,0.44,4.00,412,+128,1.56,1.70,732,+366,4.23,-0.44,969,+429,3.52
210,000800,一汽轿车,11.44,2.23, 汽车行业,10.22,210,+1895,2.23,3.62,466,+1416,3.72,0.56,933,+800,4.28,-5.55,2081,+305,-0.09
211,600812,华北制药,5.62,2.00, 医药行业,10.14,211,+363,2.00,4.66,340,+349,2.18,3.62,430,+943,6.04,0.73,543,+622,4.85
212,600711,盛屯矿业,18.46,10.01, 有色金属,10.09,212,+1655,10.01,2.38,591,+375,7.70,3.92,394,+383,14.37,0.85,524,+944,16.98
213,000150,宜华地产,9.60,-2.24, 房地产,10.06,213,+1473,-2.24,0.91,791,+689,5.49,0.91,861,+858,16.08,-2.67,1506,+231,7.14
214,000088,盐 田 港,6.03,2.73, 港口水运,10.04,214,+433,2.73,4.31,380,+919,4.51,2.17,642,+911,11.25,-0.02,871,+349,7.10
215,002228,合兴包装,11.29,2.08, 造纸印刷,10.04,215,+1208,2.08,-3.85,1736,-42,0.71,-1.16,1477,+492,2.92,3.24,227,+148,9.93
216,002059,云南旅游,9.99,0.20, 旅游酒店,10.01,216,+737,0.20,-4.31,1810,+534,1.63,-4.91,2076,+185,3.63,-4.57,1921,+333,-2.06
217,600645,中源协和,35.20,3.99, 医药行业,10.00,217,+422,3.99,3.82,442,+1256,4.86,4.14,375,+443,12.53,0.68,558,+107,10.03
218,600009,上海机场,14.56,2.61, 民航机场,9.98,218,-33,2.61,10.70,70,+9,4.52,10.08,53,+78,7.37,4.03,161,+1113,6.28
219,000570,苏常柴Ａ,8.84,3.15, 机械行业,9.98,219,+1521,3.15,-2.25,1486,+1001,2.43,-11.51,2469,+65,4.99,-10.26,2459,+35,1.96
220,002667,鞍重股份,27.24,1.98, 机械行业,9.98,220,+1849,1.98,5.90,238,-12,5.38,6.30,184,+164,11.27,1.03,491,+131,6.57
221,002316,键桥通讯,10.35,0.68, 通讯行业,9.96,221,-134,0.68,1.77,667,+26,3.19,4.20,367,+127,5.72,4.89,115,+53,12.50
222,002616,长青集团,18.82,1.67, 家电行业,9.91,222,+1513,1.67,2.03,636,+1067,2.84,1.51,758,+1206,5.02,-0.92,1084,-657,1.51
223,000685,中山公用,12.85,7.08, 公用事业,9.87,223,+535,7.08,7.80,151,+309,8.26,5.78,221,+410,10.68,4.18,151,+157,9.83
224,600517,置信电气,12.52,3.22, 输配电气,9.77,224,+1058,3.22,7.77,153,+313,3.64,5.49,254,+574,8.59,0.93,513,+717,4.77
225,600712,南宁百货,4.71,1.95, 商业百货,9.77,225,+2048,1.95,1.92,648,+230,1.95,3.36,467,+568,6.80,-2.30,1400,+699,2.17
226,300308,中际装备,15.63,1.82, 机械行业,9.74,226,+602,1.82,5.22,288,+1858,5.39,-1.35,1513,+660,8.24,-3.61,1730,+343,3.51
227,002579,中京电子,20.14,2.29, 电子元件,9.73,227,+1798,2.29,-4.21,1797,-67,0.25,-1.66,1578,-232,2.65,-3.92,1797,+662,6.00
228,002188,新 嘉 联,12.26,1.66, 电子元件,9.67,228,+1688,1.66,-3.92,1746,+547,1.32,-2.84,1787,+451,4.34,-2.46,1433,+256,-0.57
229,600331,宏达股份,5.96,3.29, 有色金属,9.66,229,+1889,3.29,0.22,890,+1440,3.83,-3.45,1889,+460,1.53,-4.82,1967,+329,-2.30
230,002207,准油股份,16.00,3.03, 石油行业,9.65,230,+1045,3.03,5.81,248,-80,3.96,5.86,215,+309,9.29,-1.36,1181,+705,3.83
231,000782,美达股份,6.26,1.79, 化纤行业,9.59,231,+1284,1.79,2.43,588,+1572,3.47,2.31,615,+282,6.83,0.21,635,+524,7.75
232,300059,东方财富,13.98,2.57, 电子信息,9.53,232,+558,2.57,4.39,373,+1033,4.25,2.34,608,+257,8.79,-3.34,1658,-341,3.86
233,601515,东风股份,11.73,5.68, 造纸印刷,9.52,233,+1614,5.68,0.32,874,+1306,7.03,1.28,793,+1186,10.87,-5.47,2068,+377,2.99
234,000882,华联股份,3.59,3.16, 商业百货,9.50,234,+1878,3.16,3.70,459,+475,3.16,3.51,442,+346,7.81,-0.35,943,+649,9.79
235,000528,柳    工,6.56,1.08, 机械行业,9.47,235,+120,1.08,8.80,114,+84,2.98,6.21,194,+147,4.96,-2.52,1456,+608,1.08
236,300045,华力创通,22.34,0.54, 电子信息,9.43,236,+458,0.54,2.96,532,-163,1.32,5.66,233,-37,8.87,-0.41,954,+258,3.43
237,002659,中泰桥梁,9.34,6.14, 工程建设,9.42,237,+156,6.14,5.22,287,+392,8.23,3.26,482,+1435,10.14,-2.22,1381,+354,21.61
238,002426,胜利精密,11.17,3.52, 材料行业,9.40,238,+1166,3.52,1.88,655,+1673,5.48,-1.12,1469,+758,9.94,-4.39,1877,+371,5.38
239,000425,徐工机械,8.21,1.61, 机械行业,9.39,239,+2239,1.61,-2.42,1519,+537,1.73,0.78,883,+470,4.72,1.43,430,+1083,3.27
240,000959,首钢股份,3.55,7.25, 钢铁行业,9.38,240,-87,7.25,7.17,178,+129,8.23,7.37,139,+31,10.94,4.29,143,+331,10.94
241,002392,北京利尔,11.02,0.27, 材料行业,9.34,241,+759,0.27,2.17,611,+301,1.29,0.60,920,+743,4.26,-3.46,1686,-24,0.64
242,600458,时代新材,10.56,4.04, 材料行业,9.31,242,+957,4.04,7.26,176,+1598,4.55,3.48,447,+1497,6.56,0.28,621,+1371,5.81
243,002544,杰赛科技,15.02,10.04, 通讯行业,9.28,243,-43,10.04,4.79,329,-97,12.26,8.69,81,+17,28.93,4.25,145,+54,29.48
244,600169,太原重工,3.72,2.76, 机械行业,9.27,244,+1262,2.76,3.06,519,+1134,5.08,2.36,606,+1252,7.83,-2.27,1391,+868,1.09
245,600814,杭州解百,7.70,1.32, 商业百货,9.24,245,+2144,1.32,-3.39,1661,+810,2.39,-6.28,2211,+263,5.05,-5.97,2141,+206,1.58
246,600153,建发股份,6.08,1.50, 国际贸易,9.22,246,+1297,1.50,2.43,586,+215,2.88,4.58,329,+405,5.74,-1.76,1272,+649,2.70
247,002360,同德化工,7.87,3.15, 化工行业,9.22,247,+345,3.15,1.42,706,-364,3.42,5.18,277,+294,10.07,-0.02,873,+826,7.22
248,000006,深振业Ａ,5.46,1.11, 房地产,9.21,248,+1261,1.11,-8.07,2181,+286,0.18,-7.22,2307,+24,1.68,-3.85,1789,+87,-0.91
249,000682,东方电子,3.92,0.51, 电子元件,9.18,249,+1606,0.51,-1.33,1349,+473,2.89,-1.73,1586,+539,6.52,-4.63,1938,+203,1.03
250,002646,青青稞酒,17.42,1.57, 酿酒行业,9.14,250,+1307,1.57,1.28,733,+206,2.17,3.44,456,+879,6.28,-1.28,1163,+680,2.89
251,600961,株冶集团,9.72,0.62, 有色金属,9.14,251,+1584,0.62,1.81,664,+1024,3.08,1.13,822,+834,7.28,-0.40,953,+583,2.32
252,600448,华纺股份,5.73,4.18, 纺织服装,9.13,252,+502,4.18,6.84,189,+110,9.56,5.59,243,+169,13.47,4.30,142,+220,14.60
253,300192,科斯伍德,20.51,3.85, 化工行业,9.11,253,+1376,3.85,-8.54,2219,+137,5.13,-4.77,2059,+353,9.68,-5.78,2118,+231,8.92
254,002221,东华能源,12.77,1.51, 石油行业,9.11,254,+1634,1.51,-1.27,1344,+323,1.51,0.86,870,+837,3.65,-4.05,1821,+247,1.67
255,600725,云维股份,4.18,0.97, 化工行业,9.07,255,+2191,0.97,-2.70,1560,+656,1.70,-2.58,1740,+644,3.47,1.39,436,+193,5.29
256,000551,创元科技,9.67,1.26, 机械行业,9.06,256,+233,1.26,4.45,361,+565,2.87,2.29,620,+829,5.11,-1.57,1226,+736,2.00
257,600398,海澜之家,10.36,3.81, 纺织服装,9.05,257,+1343,3.81,-0.29,1190,+950,5.50,-2.06,1661,+609,6.04,-3.74,1758,+354,8.03
258,600216,浙江医药,10.18,0.59, 医药行业,9.04,258,+1666,0.59,-0.01,1155,+905,0.99,-0.74,1397,+817,3.77,-2.12,1358,+381,-0.68
259,000952,广济药业,13.22,0.84, 医药行业,9.02,259,-240,0.84,4.96,314,+167,2.48,4.20,368,+377,8.09,1.12,474,-24,8.54
260,300314,戴维医疗,25.21,0.64, 医药行业,8.98,260,-167,0.64,10.86,64,+56,5.17,8.12,110,-22,6.69,2.94,250,-159,5.70
261,300291,华录百纳,35.10,-1.07, 文化传媒,8.96,261,-225,-1.07,12.74,39,+61,7.31,6.28,186,+193,6.36,5.16,108,+31,6.36
262,600110,中科英华,6.47,3.35, 材料行业,8.94,262,+1913,3.35,2.15,614,+1773,4.52,-0.87,1418,+1028,6.24,-3.12,1607,+605,0.78
263,002120,新海股份,14.52,2.40, 工艺商品,8.94,263,+1858,2.40,-1.57,1387,+888,2.33,-0.97,1441,+150,6.76,-0.51,983,+269,9.58
264,300182,捷成股份,20.95,5.28, 电子信息,8.93,264,-5,5.28,6.29,224,+68,8.66,6.86,158,+147,14.92,-0.54,989,+835,8.83
265,000056,深国商,15.25,1.60, 房地产,8.91,265,+1209,1.60,5.72,256,+634,8.39,2.54,578,+1124,12.88,-1.00,1105,+678,5.90
266,002154,报 喜 鸟,8.09,4.93, 纺织服装,8.90,266,+2260,4.93,-0.15,1171,+1083,4.12,-1.01,1449,+568,6.03,0.90,518,+493,16.40
267,002377,国创高新,7.20,0.84, 石油行业,8.89,267,+413,0.84,5.24,285,+561,4.20,2.79,548,+860,7.46,-5.05,2002,+162,0.28
268,600856,长百集团,10.16,1.60, 商业百货,8.89,268,+258,1.60,1.07,770,+1324,5.50,-3.69,1920,+282,6.28,-5.42,2062,+242,2.73
269,600452,涪陵电力,14.09,3.99, 电力行业,8.88,269,+1468,3.99,0.54,845,-108,8.30,2.66,564,+444,13.26,1.08,481,+118,16.16
270,600713,南京医药,7.09,2.01, 医药行业,8.85,270,+994,2.01,2.68,565,+459,2.46,-0.04,1235,+622,5.35,-1.59,1228,+223,5.98
271,600751,天津海运,8.22,10.04, 港口水运,8.84,271,-258,10.04,10.16,79,+46,21.06,8.63,85,+95,29.25,5.54,95,-24,25.11
272,600312,平高电气,14.20,0.92, 输配电气,8.83,272,+2048,0.92,-4.81,1876,+225,1.36,-0.83,1411,+603,5.34,-3.85,1788,+391,0.57
273,002378,章源钨业,19.91,1.84, 有色金属,8.82,273,+1627,1.84,0.11,916,+1022,2.10,-0.31,1295,+603,3.75,-4.12,1836,+469,1.12
274,000539,粤电力Ａ,4.97,0.81, 电力行业,8.80,274,+358,0.81,0.41,860,+556,1.84,0.64,914,+484,3.11,2.67,279,+53,1.64
275,600123,兰花科创,8.57,1.42, 煤炭采选,8.79,275,+1424,1.42,1.99,641,+389,2.27,3.08,499,+585,4.77,1.89,365,+656,1.30
276,300046,台基股份,15.68,2.95, 电子元件,8.79,276,+360,2.95,3.23,498,+980,3.29,3.49,446,+195,8.29,1.95,357,+82,11.36
277,300030,阳普医疗,13.14,4.87, 医药行业,8.78,277,+1735,4.87,3.77,449,+1356,6.31,1.99,668,+1406,9.96,-4.73,1956,+249,3.87
278,600872,中炬高新,11.20,0.63, 综合行业,8.77,278,+1134,0.63,-2.23,1481,+551,1.27,-1.57,1559,+296,3.80,0.13,654,+551,3.42
279,600513,联环药业,14.59,1.67, 医药行业,8.77,279,+1197,1.67,-1.55,1384,+696,2.17,-0.06,1242,+661,7.12,2.14,339,+92,3.26
280,002302,西部建设,11.77,0.34, 水泥建材,8.76,280,+304,0.34,1.55,694,+914,1.12,2.08,660,+399,4.72,-3.39,1672,+534,0.60
281,000785,武汉中商,7.30,1.53, 商业百货,8.73,281,+2142,1.53,-1.96,1444,+847,2.24,-2.85,1791,+461,5.19,-3.71,1750,+393,1.96
282,000958,东方热电,14.20,7.98, 电力行业,8.71,282,+487,7.98,1.98,643,-405,14.89,5.68,227,+309,32.46,2.12,341,+59,38.94
283,600031,三一重工,5.75,2.13, 机械行业,8.68,283,+1812,2.13,2.12,622,+964,3.60,2.10,656,+792,4.74,-0.13,899,+833,3.05
284,002190,成飞集成,62.81,2.60, 汽车行业,8.67,284,+1477,2.60,2.87,543,+1314,3.56,-1.28,1497,-58,3.90,-2.44,1428,+522,3.09
285,300193,佳士科技,15.58,1.90, 机械行业,8.66,285,+1459,1.90,3.04,520,+207,2.70,3.03,507,+503,6.13,-2.20,1376,+32,0.45
286,002466,天齐锂业,60.30,2.06, 化工行业,8.66,286,+621,2.06,0.87,802,+101,1.43,2.29,623,+28,2.78,-0.52,987,+180,27.00
287,002447,壹桥苗业,17.65,3.88, 农牧饲渔,8.65,287,+1070,3.88,4.30,382,+1368,4.87,2.52,587,+1334,9.29,1.20,467,+237,5.50
288,600568,中珠控股,12.69,4.02, 医药行业,8.60,288,+1450,4.02,0.27,881,+1478,2.75,-2.10,1670,+408,4.10,-0.75,1036,+154,2.26
289,002549,凯美特气,16.07,2.42, 化工行业,8.59,289,+1504,2.42,2.74,557,+1414,3.28,-1.06,1461,+455,4.49,1.82,374,+204,7.20
290,600830,香溢融通,8.88,0.68, 商业百货,8.57,290,+473,0.68,3.93,424,+950,2.66,1.76,718,+832,5.34,-2.57,1471,+601,0.57
291,000927,一汽夏利,5.04,-0.40, 汽车行业,8.55,291,+2253,-0.40,-12.00,2399,+120,-0.59,-10.00,2422,+66,2.86,-7.79,2345,-99,1.41
292,600137,浪莎股份,19.67,8.08, 纺织服装,8.54,292,+1684,8.08,0.58,842,+1157,8.61,1.29,792,+992,15.84,-0.06,882,+150,17.85
293,300063,天龙集团,12.55,3.89, 化工行业,8.39,293,+1017,3.89,2.28,600,+1448,2.78,0.94,854,+561,19.41,0.76,541,+494,18.73
294,002433,太安堂,12.00,1.69, 医药行业,8.38,294,-271,1.69,7.94,144,+219,5.45,5.83,216,+114,8.60,1.91,364,+670,5.54
295,600080,金花股份,13.33,6.22, 医药行业,8.37,295,+2083,6.22,-0.36,1200,+938,11.36,-0.61,1364,+911,14.72,-4.09,1831,+542,8.20
296,600422,昆明制药,25.76,0.43, 医药行业,8.35,296,+1536,0.43,-1.18,1328,+430,0.39,-0.45,1325,+335,4.04,0.66,561,+71,0.27
297,000806,银河投资,6.54,2.83, 输配电气,8.28,297,+1716,2.83,4.49,356,-5,1.24,5.41,260,-51,2.51,7.16,50,+3,10.85
298,600090,啤酒花,8.13,1.25, 酿酒行业,8.27,298,-134,1.25,8.48,123,+22,6.14,7.48,134,+70,11.37,3.22,231,+155,7.82
299,601101,昊华能源,6.39,0.31, 煤炭采选,8.26,299,+481,0.31,5.43,272,+261,1.91,3.83,405,+259,4.93,0.52,580,+701,1.27
300,002558,世纪游轮,27.35,0.40, 旅游酒店,8.26,300,+970,0.40,3.09,513,+1253,1.11,4.59,328,+72,6.79,2.77,265,+88,4.15
301,600050,中国联通,3.59,0.28, 通讯行业,8.22,301,-104,0.28,9.91,82,-15,2.87,8.92,78,-15,3.76,3.33,217,+163,2.87
302,002536,西泵股份,24.98,3.74, 汽车行业,8.22,302,+373,3.74,-2.98,1600,+618,4.56,-2.98,1813,+526,4.56,-1.75,1271,+622,7.63
303,002422,科伦药业,29.42,2.05, 医药行业,8.20,303,+1704,2.05,0.21,894,+898,2.05,0.21,995,+846,6.83,-4.93,1986,+324,4.55
304,000680,山推股份,3.47,2.66, 机械行业,8.19,304,+1955,2.66,4.37,376,+1117,4.52,2.37,605,+1061,7.43,-2.64,1497,+713,2.97
305,600308,华泰股份,3.22,1.58, 造纸印刷,8.16,305,+233,1.58,6.13,230,+1717,2.88,0.27,978,+898,5.57,-0.82,1060,+74,0.94
306,600599,熊猫烟花,23.42,10.00, 工艺商品,8.15,306,+1404,10.00,4.12,398,+100,28.19,3.12,495,+597,43.07,2.96,246,+42,56.76
307,600084,中葡股份,5.00,0.60, 酿酒行业,8.15,307,+1211,0.60,1.89,653,+725,1.63,1.55,749,+682,3.73,-3.14,1611,+229,1.21
308,600671,天目药业,15.66,3.92, 医药行业,8.15,308,-76,3.92,7.83,148,+459,8.37,2.44,597,+1035,10.13,-1.02,1112,+670,7.11
309,600860,*ST京城,6.94,0.73, 机械行业,8.15,309,+1891,0.73,-4.46,1832,+156,0.43,-2.37,1710,+271,3.58,-3.53,1705,+326,1.91
310,000999,华润三九,20.79,1.71, 医药行业,8.14,310,+1074,1.71,2.14,619,+236,2.06,1.25,799,+927,4.42,-4.43,1885,+291,2.41
311,600348,阳泉煤业,6.98,2.05, 煤炭采选,8.13,311,+1699,2.05,1.08,767,+744,3.10,1.13,821,+918,6.24,-2.42,1426,+501,1.75
312,000698,沈阳化工,4.41,0.23, 石油行业,8.12,312,+990,0.23,6.43,213,+1513,0.92,4.66,316,+246,5.50,0.26,625,+662,3.28
313,002255,海陆重工,12.88,0.70, 机械行业,8.09,313,+1281,0.70,2.76,553,+969,0.78,0.27,980,+720,3.37,-1.18,1143,+81,2.22
314,002167,东方锆业,15.81,4.43, 有色金属,8.07,314,+1825,4.43,-4.19,1791,+681,2.93,-7.93,2343,+181,3.74,-4.86,1973,+220,13.82
315,002340,格林美,12.92,0.54, 材料行业,8.06,315,-14,0.54,2.73,559,+196,1.49,4.94,301,+76,4.87,-1.06,1123,+525,2.13
316,002629,仁智油服,11.16,2.86, 石油行业,8.05,316,+1479,2.86,1.00,782,+1104,5.28,-0.56,1351,+1070,7.00,-2.48,1439,+453,8.14
317,000890,法 尔 胜,5.23,1.55, 材料行业,8.04,317,+1395,1.55,1.33,723,+317,2.15,6.89,154,+19,6.73,-0.19,913,+333,4.81
318,000812,陕西金叶,6.83,1.04, 造纸印刷,8.03,318,+1611,1.04,6.45,212,+517,4.59,3.37,465,+65,10.16,-3.29,1644,-104,-1.59
319,000058,深 赛 格,5.65,5.21, 电子元件,8.01,319,+692,5.21,8.01,140,+932,5.21,8.01,116,+1005,5.21,1.10,477,+1854,2.36
320,002168,深圳惠程,7.87,0.13, 输配电气,7.97,320,+201,0.13,4.92,319,-82,2.08,5.71,223,+53,4.79,-0.32,935,+135,1.16
321,002002,鸿达兴业,10.31,-0.39, 塑胶制品,7.90,321,+102,-0.39,6.24,227,+197,2.18,4.44,346,-57,7.28,2.70,273,+77,17.56
322,600612,老凤祥,28.70,0.95, 工艺商品,7.86,322,+1528,0.95,-0.17,1176,+228,1.16,0.52,945,+511,3.35,0.17,650,+556,0.67
323,600461,洪城水业,10.31,1.88, 公用事业,7.84,323,+1521,1.88,0.49,851,+535,1.98,0.51,946,+662,6.62,-1.19,1144,+331,4.25
324,000016,深康佳Ａ,4.81,0.42, 家电行业,7.83,324,+1899,0.42,-1.59,1390,+540,0.84,-3.50,1896,+469,3.89,-9.44,2430,+56,-1.84
325,000666,经纬纺机,12.92,2.62, 机械行业,7.82,325,-102,2.62,4.10,401,+81,5.73,5.94,209,+55,16.08,4.78,120,+43,14.74
326,600496,精工钢构,7.62,-0.39, 水泥建材,7.82,326,+281,-0.39,4.07,405,+1151,2.56,0.27,981,+472,3.11,0.38,602,+428,1.74
327,600639,浦东金桥,11.78,1.99, 房地产,7.81,327,+1258,1.99,3.62,467,+522,2.61,2.31,614,+906,5.94,-1.20,1146,+362,2.52
328,000830,鲁西化工,3.94,0.51, 化工行业,7.80,328,+1191,0.51,-0.57,1242,+562,1.55,-0.84,1414,+504,3.96,-4.50,1908,+223,0.00
329,002656,卡奴迪路,15.60,1.17, 纺织服装,7.80,329,+1201,1.17,-0.28,1189,+747,1.36,-0.57,1359,+548,2.83,-2.68,1513,+590,1.04
330,600170,上海建工,4.86,0.62, 工程建设,7.79,330,+1832,0.62,1.62,684,+645,3.85,2.29,619,+335,7.52,-0.10,892,+95,3.18
331,300048,合康变频,10.14,0.70, 输配电气,7.76,331,-49,0.70,5.34,279,+354,4.54,3.75,414,+291,7.42,-2.99,1581,-14,2.74
332,600710,常林股份,3.70,1.09, 机械行业,7.74,332,+407,1.09,2.21,607,+685,1.65,0.95,849,+799,5.41,-2.57,1473,+150,0.00
333,300316,晶盛机电,24.43,0.12, 机械行业,7.73,333,+1392,0.12,1.24,744,+918,1.54,-1.05,1460,+265,1.58,-0.88,1075,+445,7.20
334,600115,东方航空,2.77,2.59, 民航机场,7.72,334,+1148,2.59,3.16,504,-49,4.14,4.62,320,+300,6.13,2.94,249,+95,9.49
335,600187,国中水务,6.63,0.76, 公用事业,7.71,335,-17,0.76,9.89,83,+138,6.94,6.23,193,+158,9.77,1.68,387,+224,5.24
336,601100,恒立油缸,10.93,2.73, 机械行业,7.68,336,-188,2.73,8.31,128,+225,4.89,4.36,356,+343,8.65,-0.17,909,+334,7.68
337,002397,梦洁家纺,9.80,3.59, 纺织服装,7.67,337,+1840,3.59,-0.32,1196,+687,3.70,0.46,953,+1072,6.64,-1.11,1134,+307,6.87
338,300229,拓尔思,26.32,1.94, 电子信息,7.59,338,+1565,1.94,4.76,334,+171,5.03,4.49,336,+170,9.94,0.21,636,+368,6.99
339,002293,罗莱家纺,21.85,0.23, 纺织服装,7.58,339,+15,0.23,3.77,452,+945,1.39,3.54,438,+556,4.35,-2.83,1546,+135,0.83
340,002126,银轮股份,14.25,0.28, 汽车行业,7.57,340,-254,0.28,8.44,124,+98,1.64,10.25,48,+8,5.32,10.25,21,-5,5.32
341,002270,法因数控,9.72,0.31, 机械行业,7.57,341,-122,0.31,7.31,175,+150,2.53,5.34,268,-18,5.42,1.71,381,+165,1.67
342,000788,北大医药,19.50,3.28, 医药行业,7.52,342,+1454,3.28,0.47,855,+1530,3.28,-1.55,1555,+678,6.79,-2.36,1412,+193,10.54
343,600460,士兰微,6.36,1.60, 电子元件,7.48,343,+439,1.60,2.50,582,+383,3.58,1.76,717,+672,5.65,1.41,433,+600,2.09
344,601588,北辰实业,2.77,0.00, 房地产,7.42,344,+339,0.00,1.27,737,-46,1.47,2.67,562,+454,4.14,-0.34,941,-333,0.36
345,002452,长高集团,12.23,4.80, 输配电气,7.42,345,+1888,4.80,1.11,763,+586,4.80,4.52,332,+236,13.14,-1.36,1182,+510,5.43
346,002077,大港股份,8.54,2.15, 房地产,7.42,346,+1373,2.15,-0.28,1188,+428,3.39,-0.96,1440,+604,7.96,-2.86,1551,+10,8.93
347,000722,湖南发展,7.99,0.63, 电力行业,7.40,347,+1334,0.63,1.28,734,+575,5.69,1.95,676,+392,8.86,-2.89,1559,+145,4.86
348,601001,大同煤业,6.42,1.10, 煤炭采选,7.38,348,+420,1.10,4.77,331,+191,3.55,3.78,410,+548,6.82,0.29,618,+763,3.22
349,002683,宏大爆破,30.28,0.26, 化工行业,7.38,349,+220,0.26,6.53,205,+163,-0.95,6.15,197,-59,2.57,4.43,133,+82,3.98
