O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
345,002397,梦洁家纺,9.80,3.59,912万,182,0万,-12万,-12万,-0.10,2479万,-1555万,924万,7.77,4988万,-5073万,-85万,-0.72,4234万,-5061万,-826万,-6.95
346,600283,钱江水利,9.73,2.21,903万,6,123万,0万,123万,1.58,1951万,-1171万,780万,9.97,3759万,-3907万,-147万,-1.89,1983万,-2739万,-756万,-9.66
347,002623,亚玛顿,22.93,3.10,900万,214,701万,-121万,579万,4.74,2942万,-2621万,321万,2.63,5255万,-5701万,-446万,-3.65,3092万,-3547万,-455万,-3.72
348,600193,创兴资源,7.96,1.14,891万,20,1725万,-558万,1167万,8.46,4720万,-4996万,-276万,-2.00,4427万,-4747万,-320万,-2.32,2906万,-3476万,-570万,-4.13
349,300276,三丰智能,13.80,0.66,888万,456,963万,-271万,693万,5.41,2300万,-2104万,195万,1.53,4457万,-5157万,-700万,-5.47,4625万,-4812万,-188万,-1.47
350,600556,北生药业,9.09,4.12,885万,112,1287万,-728万,559万,2.72,6014万,-5688万,326万,1.59,8480万,-8758万,-278万,-1.35,4656万,-5262万,-606万,-2.95
351,300229,拓尔思,26.32,1.94,884万,208,893万,-477万,417万,3.58,3375万,-2908万,467万,4.01,4544万,-5004万,-460万,-3.96,2601万,-3024万,-423万,-3.64
352,600461,洪城水业,10.31,1.88,881万,44,107万,-199万,-92万,-0.82,3786万,-2814万,972万,8.66,4849万,-5185万,-336万,-2.99,2449万,-2994万,-545万,-4.85
353,002142,宁波银行,9.88,0.82,875万,447,2424万,-1809万,615万,3.48,4650万,-4390万,260万,1.47,5237万,-6675万,-1438万,-8.14,4903万,-4340万,563万,3.19
354,002133,广宇集团,4.59,0.66,874万,48,771万,-282万,489万,7.85,2075万,-1690万,385万,6.18,2187万,-2517万,-329万,-5.28,1142万,-1687万,-545万,-8.75
355,600279,重庆港九,11.64,1.75,873万,25,243万,-119万,123万,0.65,4637万,-3887万,750万,3.95,8386万,-8408万,-22万,-0.12,5717万,-6568万,-851万,-4.48
356,600090,啤酒花,8.13,1.25,869万,52,412万,-336万,77万,0.73,3148万,-2356万,792万,7.54,4713万,-4968万,-255万,-2.43,2180万,-2794万,-614万,-5.84
357,002466,天齐锂业,60.30,2.06,863万,197,713万,-261万,452万,4.54,3477万,-3066万,411万,4.13,3586万,-4007万,-420万,-4.22,1983万,-2425万,-442万,-4.44
358,000912,泸 天 化,5.28,1.54,846万,169,717万,-223万,494万,9.95,1031万,-678万,352万,7.09,1568万,-1979万,-411万,-8.27,1480万,-1915万,-436万,-8.77
359,300199,翰宇药业,28.69,3.20,844万,326,1733万,-1670万,63万,0.51,4504万,-3723万,781万,6.29,4280万,-4368万,-88万,-0.71,1566万,-2322万,-756万,-6.09
360,300218,安利股份,12.11,0.00,840万,48,878万,-318万,560万,15.33,792万,-512万,280万,7.67,1051万,-1597万,-546万,-14.93,885万,-1180万,-295万,-8.06
361,002319,乐通股份,10.18,1.19,840万,575,980万,-816万,164万,1.27,3640万,-2964万,676万,5.24,4533万,-4939万,-406万,-3.15,3185万,-3620万,-434万,-3.36
362,000028,国药一致,49.96,0.73,840万,120,1778万,-1430万,348万,4.47,2591万,-2099万,492万,6.32,1982万,-2210万,-228万,-2.93,1310万,-1922万,-612万,-7.86
363,300046,台基股份,15.68,2.95,839万,266,109万,0万,109万,1.15,2644万,-1915万,730万,7.65,4136万,-4365万,-229万,-2.40,2386万,-2996万,-610万,-6.40
364,600644,乐山电力,9.29,1.42,835万,57,156万,0万,156万,2.36,1902万,-1224万,678万,10.24,2971万,-3366万,-395万,-5.96,1538万,-1978万,-440万,-6.64
365,300249,依米康,12.98,4.09,834万,289,710万,-492万,218万,2.99,1788万,-1173万,615万,8.42,2784万,-2928万,-144万,-1.97,1737万,-2427万,-690万,-9.44
366,600248,延长化建,8.34,2.21,832万,0,392万,0万,392万,5.66,1765万,-1324万,440万,6.37,3143万,-3062万,81万,1.17,1616万,-2529万,-912万,-13.19
367,000422,湖北宜化,5.98,1.01,829万,306,2966万,-3249万,-283万,-1.74,5728万,-4616万,1112万,6.83,4466万,-5061万,-594万,-3.65,2808万,-3042万,-234万,-1.44
368,600139,西部资源,16.33,0.74,826万,125,945万,-626万,319万,1.61,7642万,-7135万,508万,2.57,7623万,-7633万,-9万,-0.05,3423万,-4240万,-817万,-4.13
369,600663,陆家嘴,17.80,2.06,826万,32,2486万,-2417万,69万,0.27,8203万,-7447万,756万,2.95,8646万,-9463万,-817万,-3.18,6310万,-6319万,-9万,-0.04
370,600513,联环药业,14.59,1.67,816万,23,138万,-6万,132万,1.42,2374万,-1689万,684万,7.35,4199万,-4238万,-40万,-0.43,2576万,-3352万,-777万,-8.34
371,000030,富奥股份,7.41,1.79,816万,207,1056万,-810万,246万,1.90,3432万,-2863万,569万,4.39,4730万,-4660万,69万,0.54,3524万,-4409万,-885万,-6.83
372,002009,天奇股份,15.58,1.70,799万,45,715万,0万,715万,9.34,2286万,-2203万,83万,1.08,3023万,-3648万,-625万,-8.16,1590万,-1763万,-174万,-2.27
373,300063,天龙集团,12.55,3.89,798万,80,1074万,-121万,952万,10.01,2552万,-2707万,-155万,-1.63,3444万,-3510万,-66万,-0.69,2363万,-3095万,-732万,-7.70
374,300280,南通锻压,15.22,2.42,787万,186,411万,-222万,189万,2.87,1359万,-761万,597万,9.06,2658万,-3012万,-354万,-5.36,1980万,-2413万,-433万,-6.57
375,002468,艾迪西,9.72,3.18,786万,69,257万,0万,257万,3.51,1419万,-889万,530万,7.26,3190万,-3660万,-471万,-6.45,2365万,-2681万,-316万,-4.32
376,600448,华纺股份,5.73,4.18,780万,13,510万,-257万,253万,2.96,2501万,-1974万,527万,6.17,3720万,-4002万,-282万,-3.30,1800万,-2298万,-498万,-5.83
377,600761,安徽合力,11.23,0.99,777万,20,883万,-224万,658万,4.59,3874万,-3756万,118万,0.82,5457万,-6330万,-873万,-6.08,4117万,-4020万,97万,0.67
378,300130,新国都,36.03,6.76,774万,241,2508万,-1000万,1508万,7.17,6623万,-7356万,-734万,-3.49,7446万,-7594万,-148万,-0.70,4206万,-4832万,-626万,-2.98
379,002665,首航节能,42.70,-1.39,771万,57,501万,-838万,-337万,-3.21,4033万,-2926万,1108万,10.56,3963万,-4122万,-159万,-1.51,1937万,-2549万,-612万,-5.84
380,600321,国栋建设,2.40,0.42,768万,20,426万,-149万,278万,4.49,2202万,-1712万,490万,7.92,2118万,-2254万,-136万,-2.20,1422万,-2053万,-631万,-10.20
381,002120,新海股份,14.52,2.40,766万,351,1114万,-405万,709万,8.28,2148万,-2091万,57万,0.66,3021万,-3415万,-394万,-4.60,1929万,-2302万,-372万,-4.35
382,000952,广济药业,13.22,0.84,764万,191,382万,-15万,367万,4.33,2178万,-1782万,397万,4.68,3409万,-3627万,-218万,-2.57,2308万,-2854万,-546万,-6.45
383,000861,海印股份,12.22,1.16,746万,65,193万,0万,193万,3.76,1138万,-584万,554万,10.81,1871万,-2644万,-773万,-15.10,1849万,-1822万,27万,0.53
384,600228,*ST昌九,10.58,1.05,742万,8,1243万,-1283万,-40万,-0.38,3021万,-2239万,782万,7.37,3905万,-4445万,-540万,-5.09,2434万,-2636万,-202万,-1.90
385,002255,海陆重工,12.88,0.70,739万,135,686万,-559万,128万,1.40,2832万,-2221万,611万,6.69,3345万,-3867万,-522万,-5.71,2139万,-2356万,-217万,-2.38
386,000786,北新建材,17.50,0.63,739万,238,1292万,-446万,846万,6.99,3678万,-3785万,-107万,-0.89,4782万,-4852万,-70万,-0.58,2105万,-2773万,-669万,-5.53
387,002172,澳洋科技,6.31,6.59,737万,201,990万,-956万,35万,0.24,3665万,-2963万,702万,4.93,5417万,-5807万,-390万,-2.74,3961万,-4308万,-347万,-2.43
388,002316,键桥通讯,10.35,0.68,736万,162,478万,-102万,375万,5.08,2609万,-2248万,361万,4.88,2553万,-2939万,-386万,-5.22,1587万,-1938万,-350万,-4.74
389,600161,天坛生物,22.30,-0.18,735万,19,772万,-346万,426万,3.83,3844万,-3535万,309万,2.78,4288万,-4685万,-397万,-3.57,2196万,-2534万,-338万,-3.04
390,600671,天目药业,15.66,3.92,735万,10,634万,-374万,261万,2.89,3093万,-2619万,474万,5.26,3735万,-3937万,-202万,-2.24,1549万,-2081万,-532万,-5.90
391,600857,工大首创,16.97,2.35,733万,21,825万,-139万,686万,6.35,3733万,-3686万,47万,0.44,4313万,-4939万,-625万,-5.79,1907万,-2015万,-108万,-1.00
392,600626,申达股份,8.95,0.34,729万,60,635万,-488万,147万,0.92,3745万,-3163万,582万,3.68,7212万,-7312万,-100万,-0.63,4193万,-4822万,-629万,-3.97
393,600696,多伦股份,9.08,1.57,728万,150,317万,-675万,-358万,-3.20,4620万,-3534万,1086万,9.70,4470万,-4835万,-365万,-3.26,1645万,-2009万,-363万,-3.24
394,601101,昊华能源,6.39,0.31,728万,23,35万,-184万,-149万,-1.69,2829万,-1952万,877万,9.95,3749万,-3982万,-233万,-2.64,2176万,-2671万,-495万,-5.62
395,600175,美都控股,6.76,0.60,728万,13,1375万,-923万,452万,2.84,6809万,-6533万,276万,1.73,5170万,-5425万,-255万,-1.61,2541万,-3013万,-472万,-2.97
396,601002,晋亿实业,10.24,1.09,726万,42,1593万,-547万,1045万,4.51,6060万,-6379万,-319万,-1.38,9493万,-9685万,-192万,-0.83,6003万,-6537万,-534万,-2.30
397,300314,戴维医疗,25.21,0.64,724万,85,50万,-235万,-185万,-2.30,2450万,-1541万,909万,11.28,3763万,-3746万,17万,0.21,1711万,-2451万,-740万,-9.18
398,601608,中信重工,3.50,2.34,720万,61,406万,-150万,256万,2.59,3375万,-2911万,464万,4.69,3568万,-3529万,39万,0.40,2480万,-3239万,-759万,-7.68
399,601666,平煤股份,4.43,0.91,709万,26,1384万,-788万,597万,5.76,3084万,-2971万,112万,1.09,3019万,-3740万,-721万,-6.96,2845万,-2833万,12万,0.11
400,002452,长高集团,12.23,4.80,709万,174,1587万,-759万,829万,8.67,2487万,-2607万,-120万,-1.25,3123万,-3367万,-243万,-2.55,2179万,-2644万,-466万,-4.87
401,300308,中际装备,15.63,1.82,705万,38,145万,-152万,-7万,-0.10,2146万,-1434万,712万,9.84,3057万,-2983万,74万,1.02,1852万,-2632万,-779万,-10.77
402,600590,泰豪科技,8.96,1.82,702万,82,1033万,-834万,200万,1.02,6573万,-6071万,502万,2.57,7725万,-7435万,289万,1.48,4086万,-5077万,-991万,-5.08
403,000927,一汽夏利,5.04,-0.40,701万,173,584万,-112万,472万,5.76,2527万,-2297万,229万,2.80,2537万,-2785万,-248万,-3.02,2377万,-2831万,-454万,-5.53
404,601177,杭齿前进,8.07,3.07,701万,13,228万,-131万,97万,1.70,1584万,-981万,604万,10.59,2283万,-2518万,-235万,-4.13,1590万,-2055万,-465万,-8.16
405,002183,怡 亚 通,11.88,6.55,698万,2581,2.20亿,-1.78亿,4230万,3.89,3.75亿,-4.10亿,-3532万,-3.24,3.03亿,-3.21亿,-1867万,-1.71,1.65亿,-1.53亿,1169万,1.07
406,601199,江南水务,16.59,2.16,689万,28,297万,-286万,11万,0.09,2542万,-1864万,678万,5.63,6209万,-5652万,557万,4.63,2972万,-4218万,-1246万,-10.34
407,600168,武汉控股,9.12,3.52,688万,71,539万,-298万,242万,1.44,4635万,-4189万,446万,2.65,6935万,-7296万,-361万,-2.15,4630万,-4957万,-327万,-1.94
408,002040,南 京 港,9.07,1.68,681万,109,67万,-114万,-47万,-0.36,3004万,-2276万,728万,5.50,5709万,-6119万,-410万,-3.10,4332万,-4602万,-270万,-2.04
409,600701,工大高新,5.36,0.56,675万,16,484万,-146万,338万,3.61,2046万,-1709万,337万,3.60,3685万,-4000万,-315万,-3.36,3127万,-3487万,-360万,-3.85
410,601216,内蒙君正,8.35,1.33,673万,74,2097万,-1285万,812万,2.70,7220万,-7359万,-139万,-0.46,1.15亿,-1.21亿,-609万,-2.03,9127万,-9191万,-63万,-0.21
411,002549,凯美特气,16.07,2.42,668万,81,592万,-416万,176万,2.26,1710万,-1218万,492万,6.33,3067万,-3654万,-587万,-7.55,2317万,-2398万,-81万,-1.05
412,300107,建新股份,11.69,0.43,667万,25,671万,0万,671万,10.89,1682万,-1686万,-4万,-0.06,2311万,-2655万,-344万,-5.58,1474万,-1798万,-324万,-5.25
413,000905,厦门港务,10.08,0.80,667万,1417,3455万,-3368万,87万,0.21,1.25亿,-1.19亿,581万,1.42,1.42亿,-1.46亿,-392万,-0.96,9204万,-9479万,-275万,-0.67
414,000993,闽东电力,7.64,0.92,664万,96,529万,0万,529万,14.33,820万,-686万,135万,3.65,1322万,-1742万,-420万,-11.38,918万,-1162万,-244万,-6.60
415,002453,天马精化,7.77,1.30,662万,223,709万,-200万,508万,3.06,4724万,-4570万,154万,0.93,6542万,-6546万,-4万,-0.02,4398万,-5057万,-658万,-3.97
416,300082,奥克股份,13.44,1.36,661万,67,119万,0万,119万,1.90,1759万,-1216万,542万,8.66,2708万,-2967万,-258万,-4.13,1604万,-2007万,-403万,-6.44
417,002536,西泵股份,24.98,3.74,650万,78,330万,-108万,222万,2.81,1728万,-1300万,428万,5.41,2962万,-3269万,-307万,-3.88,2752万,-3095万,-343万,-4.33
418,601006,大秦铁路,8.02,2.04,647万,231,7232万,-4489万,2743万,6.17,1.29亿,-1.50亿,-2097万,-4.72,1.49亿,-1.42亿,714万,1.61,9170万,-1.05亿,-1361万,-3.06
419,600675,中华企业,5.23,0.19,647万,37,884万,-1211万,-327万,-2.08,5315万,-4341万,974万,6.19,5519万,-5943万,-423万,-2.69,3988万,-4211万,-223万,-1.42
420,002378,章源钨业,19.91,1.84,632万,38,341万,-212万,129万,1.80,1830万,-1327万,503万,7.01,2964万,-3211万,-247万,-3.44,1998万,-2384万,-386万,-5.38
421,600604,市北高新,12.79,4.49,625万,3,185万,-271万,-86万,-0.71,2788万,-2076万,712万,5.88,5680万,-5239万,441万,3.64,3450万,-4516万,-1066万,-8.80
422,002659,中泰桥梁,9.34,6.14,623万,100,0万,-57万,-57万,-0.87,2054万,-1374万,680万,10.29,2705万,-2952万,-248万,-3.74,1754万,-2130万,-376万,-5.68
423,002402,和而泰,18.98,0.96,623万,167,206万,-42万,164万,1.84,2514万,-2056万,458万,5.12,3668万,-3817万,-149万,-1.67,2391万,-2864万,-474万,-5.29
424,002208,合肥城建,7.45,3.04,622万,36,0万,0万,0万,0.00,1595万,-973万,622万,13.60,1886万,-1849万,37万,0.82,1055万,-1714万,-659万,-14.42
425,601225,陕西煤业,4.66,1.30,622万,29,785万,-589万,197万,1.24,4175万,-3750万,425万,2.68,5913万,-6519万,-606万,-3.83,4938万,-4953万,-15万,-0.10
426,000539,粤电力Ａ,4.97,0.81,621万,73,720万,-757万,-37万,-0.52,2745万,-2088万,657万,9.32,2183万,-2461万,-277万,-3.93,1331万,-1674万,-343万,-4.87
427,002388,新亚制程,19.25,4.05,617万,372,1193万,-499万,694万,5.89,3365万,-3443万,-78万,-0.66,4386万,-4993万,-607万,-5.16,2462万,-2472万,-9万,-0.08
428,600005,武钢股份,2.22,0.45,616万,75,2832万,-3118万,-286万,-2.41,4588万,-3686万,902万,7.61,2652万,-2854万,-201万,-1.70,1705万,-2120万,-415万,-3.50
429,002392,北京利尔,11.02,0.27,615万,123,498万,-681万,-183万,-2.78,1993万,-1194万,799万,12.13,2391万,-2686万,-295万,-4.48,1583万,-1903万,-320万,-4.86
430,300048,合康变频,10.14,0.70,614万,170,312万,0万,312万,3.94,1516万,-1214万,302万,3.82,3188万,-3227万,-38万,-0.49,2730万,-3305万,-576万,-7.27
431,300055,万邦达,33.70,0.90,612万,212,1640万,-1254万,386万,2.73,4847万,-4621万,227万,1.60,4547万,-5616万,-1069万,-7.56,2891万,-2434万,457万,3.23
432,300311,任子行,26.71,10.01,612万,363,1092万,0万,1092万,71.02,81万,-561万,-480万,-31.24,0万,-398万,-398万,-25.88,2万,-216万,-214万,-13.90
433,002284,亚太股份,16.39,1.30,611万,308,0万,0万,0万,0.00,1871万,-1259万,611万,7.01,3666万,-3756万,-90万,-1.03,2876万,-3397万,-521万,-5.98
434,002188,新 嘉 联,12.26,1.66,608万,64,291万,-223万,67万,1.07,2135万,-1595万,540万,8.60,2733万,-2838万,-105万,-1.67,1062万,-1564万,-502万,-8.00
435,600795,国电电力,2.39,0.84,607万,292,8848万,-6814万,2035万,6.88,6730万,-8157万,-1428万,-4.83,7945万,-8532万,-586万,-1.98,5740万,-5761万,-20万,-0.07
436,000759,中百集团,8.78,3.05,605万,128,407万,0万,407万,10.36,882万,-684万,198万,5.03,1350万,-1500万,-150万,-3.82,1165万,-1620万,-455万,-11.57
437,600418,江淮汽车,13.48,0.75,602万,126,3751万,-1993万,1758万,5.49,8170万,-9326万,-1156万,-3.61,1.18亿,-1.20亿,-182万,-0.57,8231万,-8651万,-420万,-1.31
438,300113,顺网科技,28.50,0.32,601万,530,429万,-128万,302万,2.22,3385万,-3085万,300万,2.20,5380万,-6661万,-1281万,-9.42,3881万,-3201万,680万,5.00
439,601390,中国中铁,2.93,1.03,601万,243,2808万,-1873万,935万,5.29,3904万,-4239万,-335万,-1.89,5198万,-6649万,-1450万,-8.20,5535万,-4685万,850万,4.80
440,600877,中国嘉陵,6.54,0.77,600万,51,847万,-502万,345万,1.79,4449万,-4194万,254万,1.32,7727万,-7566万,161万,0.83,6258万,-7019万,-761万,-3.94
441,002618,丹邦科技,36.27,3.63,597万,60,768万,-978万,-210万,-2.54,3410万,-2603万,807万,9.77,2753万,-2848万,-95万,-1.15,1268万,-1770万,-502万,-6.08
442,600137,浪莎股份,19.67,8.08,596万,6,148万,-18万,130万,1.86,1581万,-1116万,466万,6.68,3137万,-3396万,-259万,-3.71,2101万,-2437万,-337万,-4.83
443,000830,鲁西化工,3.94,0.51,595万,296,228万,-579万,-350万,-4.59,2888万,-1943万,945万,12.39,2423万,-2578万,-155万,-2.03,1794万,-2234万,-440万,-5.77
444,600961,株冶集团,9.72,0.62,594万,57,255万,0万,255万,3.93,1523万,-1184万,339万,5.22,2704万,-3108万,-404万,-6.21,1962万,-2152万,-191万,-2.93
445,000949,新乡化纤,3.58,1.42,593万,62,450万,-32万,418万,7.80,1415万,-1240万,175万,3.27,1808万,-1900万,-92万,-1.71,1626万,-2127万,-501万,-9.35
446,300155,安居宝,15.27,1.46,591万,186,205万,-121万,84万,0.92,2291万,-1784万,506万,5.56,4096万,-4179万,-82万,-0.90,2337万,-2845万,-508万,-5.58
447,002100,天康生物,13.68,0.29,591万,44,402万,-356万,45万,0.49,2557万,-2011万,545万,5.90,4009万,-4427万,-418万,-4.52,2232万,-2404万,-173万,-1.87
448,002608,舜天船舶,12.73,5.91,588万,402,691万,-806万,-115万,-0.38,5804万,-5102万,703万,2.35,1.16亿,-1.21亿,-498万,-1.67,1.13亿,-1.14亿,-90万,-0.30
449,002548,金新农,21.28,2.65,587万,292,432万,-176万,255万,2.74,2230万,-1898万,332万,3.57,3834万,-4045万,-211万,-2.26,2503万,-2879万,-377万,-4.05
450,002476,宝莫股份,9.53,-0.73,584万,217,1557万,-813万,744万,2.82,6385万,-6544万,-160万,-0.61,1.07亿,-1.39亿,-3236万,-12.27,7516万,-4865万,2652万,10.06
451,300078,中瑞思创,24.08,0.50,582万,231,890万,-367万,522万,4.80,1948万,-1889万,59万,0.55,4722万,-6198万,-1475万,-13.56,3059万,-2166万,894万,8.21
452,600712,南宁百货,4.71,1.95,579万,16,741万,0万,741万,12.50,1248万,-1410万,-162万,-2.73,2527万,-2837万,-311万,-5.24,1396万,-1664万,-268万,-4.53
453,000916,华北高速,4.84,2.76,572万,82,1307万,-544万,763万,8.71,2319万,-2510万,-191万,-2.18,2848万,-3072万,-225万,-2.56,2205万,-2552万,-347万,-3.96
454,600979,广安爱众,6.46,0.16,571万,11,958万,-442万,516万,4.74,3877万,-3822万,55万,0.50,3679万,-3710万,-31万,-0.28,2369万,-2910万,-540万,-4.96
455,002652,扬子新材,13.21,1.30,571万,43,338万,-188万,150万,3.86,1208万,-787万,421万,10.85,1334万,-1520万,-186万,-4.79,958万,-1343万,-385万,-9.92
456,002541,鸿路钢构,14.31,2.80,569万,54,0万,0万,0万,0.00,1329万,-760万,569万,11.25,2170万,-2278万,-108万,-2.13,1495万,-1956万,-461万,-9.12
457,002061,江山化工,4.59,0.44,568万,57,0万,0万,0万,0.00,1302万,-734万,568万,13.05,1887万,-1923万,-36万,-0.82,1108万,-1641万,-533万,-12.23
458,000729,燕京啤酒,6.76,0.75,567万,145,2415万,-1035万,1380万,9.51,3711万,-4524万,-813万,-5.60,4255万,-5004万,-749万,-5.16,3994万,-3813万,181万,1.25
459,600485,中创信测,32.80,1.64,567万,151,1244万,-1381万,-136万,-0.76,7208万,-6505万,703万,3.90,6329万,-7173万,-843万,-4.68,3077万,-2800万,277万,1.54
460,601727,上海电气,4.31,0.70,562万,23,476万,-153万,324万,3.20,2167万,-1929万,238万,2.35,4226万,-4374万,-148万,-1.46,3229万,-3643万,-414万,-4.09
461,600725,云维股份,4.18,0.97,559万,20,922万,-214万,708万,11.48,871万,-1020万,-149万,-2.42,2319万,-2587万,-268万,-4.35,2031万,-2322万,-291万,-4.72
462,600818,中路股份,18.12,-0.11,554万,21,624万,-611万,13万,0.15,2774万,-2232万,541万,6.38,3458万,-3603万,-145万,-1.71,1609万,-2018万,-409万,-4.82
463,601369,陕鼓动力,6.28,1.78,554万,4,536万,-21万,515万,5.79,2528万,-2490万,39万,0.43,3288万,-3635万,-347万,-3.90,2535万,-2742万,-207万,-2.32
464,601168,西部矿业,6.35,1.44,553万,235,2200万,-1026万,1174万,4.34,8204万,-8825万,-621万,-2.29,8836万,-9802万,-966万,-3.57,7596万,-7183万,413万,1.53
465,600867,通化东宝,13.32,0.83,553万,28,646万,-256万,390万,2.89,3836万,-3674万,163万,1.21,4811万,-5769万,-958万,-7.10,4176万,-3771万,405万,3.00
466,002394,联发股份,10.56,2.03,547万,98,43万,0万,43万,0.53,1984万,-1480万,504万,6.19,3603万,-3633万,-30万,-0.37,2417万,-2934万,-517万,-6.35
467,600803,威远生化,13.17,-0.30,536万,18,132万,0万,132万,2.61,1796万,-1392万,405万,8.01,1761万,-2321万,-560万,-11.09,1340万,-1316万,24万,0.47
468,002318,久立特材,21.05,-0.66,536万,162,5552万,-5374万,179万,1.02,6789万,-6431万,357万,2.03,3565万,-3902万,-337万,-1.92,1502万,-1701万,-199万,-1.13
469,600507,方大特钢,3.90,1.83,535万,21,308万,-249万,59万,0.80,1578万,-1102万,475万,6.36,3115万,-3285万,-170万,-2.27,2447万,-2812万,-365万,-4.89
470,600856,长百集团,10.16,1.60,534万,27,17万,0万,17万,0.29,2085万,-1569万,517万,8.60,2368万,-2696万,-328万,-5.46,1507万,-1713万,-206万,-3.43
471,002079,苏州固锝,7.95,0.63,534万,331,1462万,-1401万,61万,0.33,6027万,-5555万,472万,2.54,6349万,-6489万,-140万,-0.76,4384万,-4777万,-394万,-2.12
472,600272,开开实业,12.84,1.26,532万,54,68万,0万,68万,0.87,1298万,-834万,464万,5.93,3813万,-4176万,-362万,-4.63,2592万,-2762万,-169万,-2.16
473,000537,广宇发展,6.90,0.58,531万,291,781万,-445万,335万,2.64,4466万,-4270万,196万,1.54,4457万,-4714万,-257万,-2.03,2696万,-2970万,-274万,-2.16
474,600822,上海物贸,11.35,3.09,530万,28,255万,-659万,-404万,-1.69,5615万,-4680万,934万,3.90,9640万,-1.02亿,-526万,-2.20,8439万,-8443万,-4万,-0.02
475,002012,凯恩股份,6.39,2.40,530万,148,233万,-361万,-129万,-1.01,3784万,-3125万,659万,5.14,5185万,-5481万,-296万,-2.31,3452万,-3686万,-234万,-1.82
476,000692,惠天热电,4.97,2.47,528万,221,491万,-161万,330万,1.66,3895万,-3697万,198万,0.99,7589万,-7993万,-404万,-2.03,7703万,-7827万,-124万,-0.62
477,601336,新华保险,25.48,1.55,528万,97,5558万,-4011万,1547万,5.49,9694万,-1.07亿,-1019万,-3.62,7070万,-8568万,-1498万,-5.32,5744万,-4774万,970万,3.45
478,601158,重庆水务,5.67,-0.18,527万,230,340万,-562万,-223万,-1.63,4010万,-3260万,750万,5.47,5086万,-5621万,-535万,-3.90,4050万,-4043万,8万,0.06
479,002002,鸿达兴业,10.31,-0.39,527万,109,525万,-591万,-66万,-0.99,2790万,-2196万,593万,8.89,2383万,-2542万,-159万,-2.38,866万,-1234万,-368万,-5.52
480,002228,合兴包装,11.29,2.08,527万,127,714万,-112万,602万,11.46,1458万,-1533万,-75万,-1.42,1619万,-1978万,-359万,-6.85,1331万,-1499万,-168万,-3.19
481,300293,蓝英装备,16.08,2.03,524万,249,436万,-159万,277万,2.21,2540万,-2293万,248万,1.98,5350万,-5586万,-236万,-1.88,3958万,-4246万,-288万,-2.30
482,000926,福星股份,6.99,0.14,523万,261,638万,-598万,40万,0.51,2632万,-2149万,483万,6.12,2720万,-3086万,-367万,-4.64,1645万,-1801万,-157万,-1.99
483,002333,罗普斯金,11.26,1.90,523万,49,324万,-141万,184万,3.97,1401万,-1062万,340万,7.35,1652万,-1775万,-123万,-2.67,1192万,-1592万,-400万,-8.66
484,002431,棕榈园林,18.70,0.16,520万,236,318万,0万,318万,2.78,3434万,-3232万,201万,1.75,5007万,-5337万,-329万,-2.87,2367万,-2557万,-190万,-1.66
485,002656,卡奴迪路,15.60,1.17,516万,90,125万,0万,125万,1.89,1306万,-915万,391万,5.91,3128万,-3353万,-225万,-3.39,1963万,-2255万,-292万,-4.40
486,300381,溢多利,64.10,6.28,515万,271,235万,-161万,74万,0.55,3676万,-3235万,441万,3.26,6018万,-5667万,351万,2.60,3325万,-4191万,-866万,-6.41
487,600215,长春经开,4.71,1.29,512万,13,81万,0万,81万,2.45,968万,-536万,432万,13.15,1401万,-1533万,-132万,-4.03,821万,-1202万,-380万,-11.58
488,002221,东华能源,12.77,1.51,510万,84,234万,-8万,225万,4.03,1862万,-1577万,284万,5.08,2025万,-2498万,-473万,-8.46,1390万,-1426万,-37万,-0.66
489,600518,康美药业,15.08,0.33,507万,86,6611万,-4735万,1876万,3.79,1.43亿,-1.57亿,-1369万,-2.77,1.79亿,-1.83亿,-430万,-0.87,1.06亿,-1.06亿,-77万,-0.15
490,600456,宝钛股份,17.35,0.99,505万,107,888万,-443万,446万,2.55,5119万,-5060万,59万,0.34,7382万,-7319万,63万,0.36,3970万,-4538万,-568万,-3.25
491,300143,星河生物,12.79,1.99,504万,103,728万,-7万,721万,10.47,1639万,-1856万,-217万,-3.15,2731万,-3073万,-341万,-4.95,1684万,-1847万,-162万,-2.36
492,000026,飞亚达Ａ,9.57,1.59,495万,71,638万,0万,638万,6.22,2383万,-2526万,-144万,-1.40,4362万,-4637万,-276万,-2.68,2817万,-3036万,-219万,-2.13
493,000682,东方电子,3.92,0.51,494万,237,364万,0万,364万,6.76,925万,-795万,130万,2.42,2139万,-2247万,-108万,-2.01,1712万,-2098万,-386万,-7.17
494,300105,龙源技术,12.76,1.92,491万,300,1716万,-1822万,-105万,-0.43,7717万,-7120万,597万,2.46,9177万,-9103万,74万,0.31,5325万,-5890万,-566万,-2.33
